measurement_interval,section,n_endpoints,reference_mae,reduced_mae,mae_difference,mae_relative_difference_percent,reference_rmse,reduced_rmse,rmse_difference,reference_mean_signed_error,reduced_mean_signed_error,mean_signed_error_difference
6,S1,23,0.9625312838888549,0.9398408723964605,-0.02269041149239437,-2.3573687289123444,1.0821817761280597,1.074880971405056,-0.007300804723003651,0.03259866060116943,0.026769020415575235,-0.005829640185594193
6,S2,23,0.8802612321795118,0.9885295772064048,0.10826834502689298,12.299569840060139,1.016680088997291,1.1466369580327935,0.12995686903550263,0.21520008147377565,0.18670308569045208,-0.02849699578332357
6,S3,23,0.8183394889400044,0.7829128168857605,-0.03542667205424388,-4.329092330633105,0.9391206362137088,1.0100674644467982,0.0709468282330894,-0.04735113192283995,-0.09858611658203538,-0.05123498465919543
6,S4,23,1.4509535399813236,1.4273135511566089,-0.02363998882471474,-1.6292726247471048,1.7415073477152228,1.7779911034865101,0.036483755771287374,1.2249808740043868,1.0903093811652664,-0.1346714928391204
6,S5,23,2.4536816257877816,2.653921768925787,0.20024014313800542,8.160803791067071,3.335575633300197,3.5353909445821605,0.1998153112819634,-0.5869379389670877,0.012595840708659644,0.5995337796757473
6,S6,23,2.0129597367762537,2.0176819473552117,0.004722210578957942,0.23459041394044677,2.4938610596576867,2.5151565712591695,0.021295511601482797,-0.34661325011127747,-0.27489508197641416,0.07171816813486331
6,All,138,1.4297878179256216,1.4683667556543718,0.03857893772875021,2.6982281737944636,1.9775809718693673,2.0606081534346545,0.08302718156528721,0.08197954917968775,0.15714935490358398,0.07516980572389623
12,S1,11,1.189468586873633,1.0616947290640617,-0.1277738578095713,-10.74209602671464,1.3565918029561046,1.2679535798165886,-0.08863822313951597,0.12038015031878131,0.0945542690734038,-0.02582588124537752
12,S2,11,1.3892521173482668,1.9162235680716753,0.5269714507234085,37.932024298747486,1.7840986653212094,2.5220089458790356,0.7379102805578261,0.5276888385150584,0.12770092381306775,-0.3999879147019907
12,S3,11,1.2519935742785249,1.3763776585366545,0.12438408425812963,9.934882000477305,1.5900302354661466,1.8629785994845576,0.27294836401841094,-0.15472540660746564,-0.3741425444941964,-0.21941713788673078
12,S4,11,2.783063447372027,2.693809834245301,-0.08925361312672564,-3.207027608767075,3.3260542805504607,3.3323942288585315,0.006339948308070831,2.3972375209530994,2.1479690684151134,-0.24926845253798602
12,S5,11,4.5367573765963245,4.750026410597072,0.21326903400074748,4.700913368233752,6.4182507376167806,6.5994433149860665,0.18119257736928596,-1.1213164102456543,-0.0099143266422979,1.1114020836033565
12,S6,11,3.4328872751553408,2.9739586432913527,-0.458928631863988,-13.368590200597867,4.062522075723213,3.49382698582792,-0.5686950898952929,-0.5406868129883148,-0.2626016476684678,0.278085165319847
12,All,66,2.4305703962706864,2.462015140634353,0.03144474436366673,1.293718725938305,3.566328895399534,3.61255346066427,0.04622456526473595,0.20476297999091736,0.2872609570827706,0.08249797709185325
