measurement_interval,initial_history_months,section,scope,evaluation_scope,n_full_features,n_without_lithology,mae_full_features,mae_without_lithology,mae_abs_diff,mae_rel_diff,rmse_full_features,rmse_without_lithology,rmse_abs_diff,rmse_rel_diff,mean_signed_error_full_features,mean_signed_error_without_lithology,mean_signed_error_abs_diff,mean_signed_error_rel_diff,coverage_90_full_features,coverage_90_without_lithology,coverage_90_abs_diff,mean_width_90_full_features,mean_width_90_without_lithology,mean_width_90_abs_diff
6,36,S1,monthly,full_period,138,138,0.18203531366541228,0.18183257782078885,-0.0002027358446234362,-0.0011137171164275973,0.21710114875636102,0.21693874464435317,-0.00016240411200785232,-0.0007480573591533974,0.004461503402595875,0.004341445405112341,-0.00012005799748353481,-0.026909762618062875,0.8985507246376812,0.8985507246376812,0.0,0.8537640508289283,0.852102419703712,-0.001661631125216223
6,36,S1,endpoint,full_period,23,23,0.9398408723964605,0.9402115855020368,0.00037071310557623693,0.0003944424172902496,1.074880971405056,1.0739531456857723,-0.0009278257192837369,-0.0008631892683623449,0.026769020415575225,0.02604867243067408,-0.0007203479849011429,-0.02690976261806044,,,,,,
6,36,S1,monthly,shared_period,78,78,0.18407731937268254,0.18377986040909525,-0.00029745896358729373,-0.0016159457591027767,0.2228911914048573,0.2226034363085969,-0.0002877550962603892,-0.0012910115220197901,0.046914214433449175,0.04702482218147858,0.00011060774802940793,0.0023576595998705705,0.9743589743589743,0.9743589743589743,0.0,1.0808567645634979,1.0777779571795754,-0.0030788073839225216
6,36,S1,endpoint,shared_period,13,13,0.9433279096993117,0.9438894982716454,0.0005615885723336822,0.0005953269977061211,1.1015541388765397,1.1015594830846656,5.3442081258125995e-06,4.851516541223372e-06,0.2814852866006949,0.28214893308887157,0.0006636464881766835,0.00235765959987141,,,,,,
6,36,S2,monthly,full_period,138,138,0.22815441627732605,0.22795310946027905,-0.00020130681704699782,-0.0008823270674818126,0.29186427470015536,0.2915773728471142,-0.0002869018530411438,-0.0009829975023009935,0.031117180948408672,0.03110818666557575,-8.99428283292203e-06,-0.00028904555486032856,0.9202898550724637,0.9202898550724637,0.0,0.8762100763025262,0.8739823632121086,-0.0022277130904175824
6,36,S2,endpoint,full_period,23,23,0.988529577206405,0.9884658680636502,-6.370914275477535e-05,-6.444839307167527e-05,1.1466369580327935,1.1466355462646893,-1.4117681041980745e-06,-1.2312250135562946e-06,0.18670308569045208,0.18664911999345446,-5.396569699761544e-05,-0.0002890455548607745,,,,,,
6,36,S2,monthly,shared_period,78,78,0.24766932752034465,0.24762604276970093,-4.3284750643718395e-05,-0.00017476831336800394,0.3020378542532497,0.30192304056323266,-0.0001148136900170349,-0.0003801301340220986,0.03647368311117502,0.03649888104318897,2.5197932013949764e-05,0.0006908524137017979,0.9230769230769231,0.9230769230769231,0.0,0.9862898012460962,0.9834738545666667,-0.0028159466794295263
6,36,S2,endpoint,shared_period,13,13,1.173883385962719,1.1740049271984678,0.00012154123574892317,0.00010353774250688915,1.3197378271575109,1.3197948979625016,5.707080499073314e-05,4.32440472769155e-05,0.21884209866705012,0.21899328625913367,0.00015118759208354593,0.0006908524137011003,,,,,,
6,36,S3,monthly,full_period,138,138,0.16567318543492116,0.1654551237139989,-0.00021806172092225795,-0.0013162161417359587,0.2493223474667586,0.24905101355581036,-0.000271333910948246,-0.0010882855616639905,-0.01643101943033922,-0.016978004806366978,-0.0005469853760277574,-0.03328980154559191,0.9855072463768116,0.9855072463768116,0.0,1.004390685733709,1.0014671774192605,-0.002923508314448542
6,36,S3,endpoint,full_period,23,23,0.7829128168857606,0.7845665595085951,0.0016537426228344643,0.002112294737251404,1.0100674644467982,1.0109685698459725,0.0009011053991743179,0.0008921239727960572,-0.09858611658203538,-0.10186802883820187,-0.0032819122561664887,-0.03328980154559133,,,,,,
6,36,S3,monthly,shared_period,78,78,0.17380814239214154,0.17327604204837085,-0.0005321003437706862,-0.0030614235699624177,0.2851266584255064,0.2847951618714767,-0.0003314965540296977,-0.001162629113181664,-0.042770729940672006,-0.04328400581973768,-0.000513275879065675,-0.01200063407329378,0.9743589743589743,0.9743589743589743,0.0,1.0080579839802486,1.0058756183900994,-0.002182365590149171
6,36,S3,endpoint,shared_period,13,13,0.7610598424933461,0.7629323595186511,0.0018725170253049983,0.002460407080697297,1.0314886627730033,1.0324571673182503,0.0009685045452469954,0.0009389386235650089,-0.2566243796440321,-0.25970403491842603,-0.003079655274393911,-0.012000634073293236,,,,,,
6,36,S4,monthly,full_period,138,138,0.40847235687055217,0.4067286179344024,-0.0017437389361497635,-0.004268927644233137,0.4955110035943961,0.49484752073289523,-0.0006634828615008637,-0.0013389871399182127,0.1817182301942111,0.17973457530468726,-0.001983654889523845,-0.010916102844518221,1.0,1.0,0.0,3.6783088482971142,3.673004490666993,-0.00530435763012127
6,36,S4,endpoint,full_period,23,23,1.4273135511566089,1.4184297570964768,-0.008883794060132066,-0.0062241362824119306,1.7779911034865101,1.7659907297604571,-0.012000373726053004,-0.006749400321813282,1.0903093811652664,1.0784074518281235,-0.011901929337142958,-0.010916102844518123,,,,,,
6,36,S4,monthly,shared_period,78,78,0.40135544645188376,0.39986698409244453,-0.0014884623594392243,-0.0037085889143843166,0.4855925086684111,0.4850102961627442,-0.0005822125056668681,-0.0011989734093374048,0.15597857724831066,0.1544800999195932,-0.001498477328717468,-0.009606943178690248,1.0,1.0,0.0,3.499898808688102,3.495111989962676,-0.004786818725426301
