measurement_interval,section,interval_start,interval_end,n_months_reference,reference_endpoint_error,reference_fold_count,n_months_reduced,reduced_endpoint_error,reference_absolute_endpoint_error,reduced_absolute_endpoint_error,absolute_error_difference
6,S1,2013-05-01,2013-11-01,6,-0.36671842018998774,1,6,-0.3562354015041804,0.36671842018998774,0.3562354015041804,-0.01048301868580731
6,S2,2013-05-01,2013-11-01,6,-1.4095420938456296,1,6,-1.408560670391883,1.4095420938456296,1.408560670391883,-0.0009814234537466326
6,S3,2013-05-01,2013-11-01,6,0.7152651089354725,1,6,0.8904733372793499,0.7152651089354725,0.8904733372793499,0.1752082283438774
6,S4,2013-05-01,2013-11-01,6,1.0255333580906734,1,6,0.0462683930539447,1.0255333580906734,0.0462683930539447,-0.9792649650367287
6,S5,2013-05-01,2013-11-01,6,-6.818590502675898,1,6,-6.807144338874446,6.818590502675898,6.807144338874446,-0.011446163801451803
6,S6,2013-05-01,2013-11-01,6,0.4995563596416298,1,6,0.325962418519949,0.4995563596416298,0.325962418519949,-0.1735939411216808
6,S1,2013-11-01,2014-05-01,6,-0.745276735896872,1,6,-0.6960656650216439,0.745276735896872,0.6960656650216439,-0.049211070875228136
6,S2,2013-11-01,2014-05-01,6,0.34057344905025577,1,6,0.4491760101321596,0.34057344905025577,0.4491760101321596,0.1086025610819038
6,S3,2013-11-01,2014-05-01,6,1.9673454751401973,1,6,1.980248250596296,1.9673454751401973,1.980248250596296,0.012902775456098636
6,S4,2013-11-01,2014-05-01,6,2.328591609726618,1,6,1.4394652500613296,2.328591609726618,1.4394652500613296,-0.8891263596652883
6,S5,2013-11-01,2014-05-01,6,-8.243624554294046,1,6,-9.433179576247843,8.243624554294046,9.433179576247843,1.1895550219537974
6,S6,2013-11-01,2014-05-01,6,-3.935990816288799,1,6,-3.7465906739496457,3.935990816288799,3.7465906739496457,-0.18940014233915337
6,S1,2014-05-01,2014-11-01,6,-0.4365863572057576,1,6,-0.5590172459368006,0.4365863572057576,0.5590172459368006,0.12243088873104296
6,S2,2014-05-01,2014-11-01,6,1.3740778091382215,1,6,1.3609765727045504,1.3740778091382215,1.3609765727045504,-0.013101236433671115
6,S3,2014-05-01,2014-11-01,6,0.9644264872039182,1,6,0.9967342090899728,0.9644264872039182,0.9967342090899728,0.032307721886054575
6,S4,2014-05-01,2014-11-01,6,3.3699677313182095,1,6,4.052961972429304,3.3699677313182095,4.052961972429304,0.6829942411110945
6,S5,2014-05-01,2014-11-01,6,-0.5273278523664291,1,6,1.8306163905063384,0.5273278523664291,1.8306163905063384,1.3032885381399093
6,S6,2014-05-01,2014-11-01,6,0.12234127108684656,1,6,-0.2662062909105129,0.12234127108684656,0.2662062909105129,0.14386501982366634
6,S1,2014-11-01,2015-05-01,6,1.1178222393505914,1,6,1.1034698593910337,1.1178222393505914,1.1034698593910337,-0.014352379959557737
6,S2,2014-11-01,2015-05-01,6,0.48955075905281703,1,6,0.5559788338204452,0.48955075905281703,0.5559788338204452,0.06642807476762819
6,S3,2014-11-01,2015-05-01,6,-0.09200951760626142,1,6,-0.6188513598688585,0.09200951760626142,0.6188513598688585,0.5268418422625971
6,S4,2014-11-01,2015-05-01,6,2.7175071586457995,1,6,2.2728625947484464,2.7175071586457995,2.2728625947484464,-0.4446445638973531
6,S5,2014-11-01,2015-05-01,6,0.18590621263008417,1,6,2.0285343693817968,0.18590621263008417,2.0285343693817968,1.8426281567517127
6,S6,2014-11-01,2015-05-01,6,-1.0561028223510096,1,6,-0.1280771370502362,1.0561028223510096,0.1280771370502362,-0.9280256853007733
6,S1,2015-05-01,2015-11-01,6,-1.1661775302793942,1,6,-1.1206678724836037,1.1661775302793942,1.1206678724836037,-0.045509657795790526
6,S2,2015-05-01,2015-11-01,6,-0.9855796778017921,1,6,-0.8998425937666172,0.9855796778017921,0.8998425937666172,-0.08573708403517488
